Filename,Labels,Objects,Websearch,Logos,Violence,Faces,Landmarks,Texts
airport_2.jpg,"['Architecture', 'Building', 'Fixture', 'Metropolitan area', 'City', 'Event', 'Check-in', 'Passenger', 'Cleanliness', 'Flooring']","['Person', 'Person', 'Person', 'Luggage & bags']",['incheon international airport'],[],VERY_UNLIKELY,1,[],"['Open to All Travellers...\nSleep\nSnacks\nMassage\n4th Floor\nEntrance\nCuisina\nRest\n? ?\nfer Desk B 444-- 5 A\nUTY FREE\n00\nLiguer/Cigarettes\nt6-50/12-25 DUTY FREE\nfader\n国到我们AK免税店\nHINE\nIT po\nNIKE GOLF\nBRAN\nTeur\n', 'Open', 'to', 'All', 'Travellers...', 'Sleep', 'Snacks', 'Massage', '4th', 'Floor', 'Entrance', 'Cuisina', 'Rest', '?', '?', 'fer', 'Desk', 'B', '444--', '5', 'A', 'UTY', 'FREE', '00', 'Liguer/Cigarettes', 't6-50/12-25', 'DUTY', 'FREE', 'fader', '国', '到', '我们', 'AK', '免税店', 'HINE', 'IT', 'po', 'NIKE', 'GOLF', 'BRAN', 'Teur']"
arrest.jpg,"['Trousers', 'Sky', 'High-visibility clothing', 'Workwear', 'Motor vehicle', 'Cloud', 'Security', 'Gesture', 'Tree', 'Personal protective equipment']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Shoe', 'Person', 'Shoe']",['protest'],[],UNLIKELY,8,[],"['TROPOLITAN\nPOLICE\n3503052592\n2648\nPOLCE OFFICER\nPOLICE\nCE\nPo:\nPOLN\nOLITAN\nPOICE\nETROPOLITAN\nCE\nPOUCE OFFICER\nPOLICE\n', 'TROPOLITAN', 'POLICE', '3503052592', '2648', 'POLCE', 'OFFICER', 'POLICE', 'CE', 'Po:', 'POLN', 'OLITAN', 'POICE', 'ETROPOLITAN', 'CE', 'POUCE', 'OFFICER', 'POLICE']"
capitol_1.jpg,"['Daytime', 'Sky', 'White', 'Building', 'Tree', 'Yellow', 'Summer', 'Leisure', 'Recreation', 'Event']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Pants', 'Building', 'Pants']",['california state capitol museum'],[],VERY_UNLIKELY,3,"['California State Capitol Museum', 'State Capitol']","['CANCEL\nANIMAL\n* AG\nSTOP\nFACTORY\nFARMS\nSLAAT\nHOUSES\nEA DAI\nDE\n', 'CANCEL', 'ANIMAL', '*', 'AG', 'STOP', 'FACTORY', 'FARMS', 'SLAAT', 'HOUSES', 'EA', 'DAI', 'DE']"
casino_1.jpg,"['Clothing', 'Table', 'Furniture', 'Poker table', 'Baize', 'Smile', 'Muscle', 'Poker', 'Chair', 'Poker set']","['Person', 'Person', 'Person', 'Person', 'Table top', 'Person', 'Person', 'Jeans', 'Chair', 'Tableware']",['casino'],[],VERY_UNLIKELY,6,[],[]
protest_3.jpg,"['Cloud', 'Shorts', 'Sky', 'Handwriting', 'Human', 'Tree', 'Thigh', 'Luggage and bags', 'Crowd', 'Event']","['Shorts', 'Shorts', 'Person', 'Person', 'Person', 'Person', 'Person', 'Luggage & bags', 'Shorts', 'Shorts']",['crowd'],[],VERY_UNLIKELY,1,[],"['FUCK\nthe\nPOLICE\nDEFUND\nPOLICE\nABOLISH\n井FTP\nBLACK LIVES\nMATTER!\nFUCK 121\nIT ALL!\nPOLICING\nOCEAN""\nIce\nNYPD:\nKeep Your\nMutherfuckin D\n#Black\nLives\nMatte\nGentrification\nIncreases\npolice\nvielence!\nTHE\nONILE\n#Black\nLives\nlatte\nPRO\nEA\nOTHE\nBLACK IVES\nMATTER\nPLATBUSH\nACK\nLIVES\nUSTICE FOR\nTav ACDAD\nin your arear\nTUS POLICE\nWILDCAT\nRTANG\n', 'FUCK', 'the', 'POLICE', 'DEFUND', 'POLICE', 'ABOLISH', '井', 'FTP', 'BLACK', 'LIVES', 'MATTER!', 'FUCK', '121', 'IT', 'ALL!', 'POLICING', 'OCEAN""', 'Ice', 'NYPD:', 'Keep', 'Your', 'Mutherfuckin', 'D', '#Black', 'Lives', 'Matte', 'Gentrification', 'Increases', 'police', 'vielence!', 'THE', 'ONILE', '#Black', 'Lives', 'latte', 'PRO', 'EA', 'OTHE', 'BLACK', 'IVES', 'MATTER', 'PLATBUSH', 'ACK', 'LIVES', 'USTICE', 'FOR', 'Tav', 'ACDAD', 'in', 'your', 'arear', 'TUS', 'POLICE', 'WILDCAT', 'RTANG']"
riot_1.jpg,"['Clothing', 'Crowd', 'Military person', 'Gesture', 'Hat', 'Cap', 'Flag', 'Military uniform', 'Baseball cap', 'Headgear']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Hat', 'Person']",['crowd'],['Hammerskins'],VERY_UNLIKELY,4,[],"['PILUS\nPOLICE\nPOLKS\nPOLIE\nPALKE\nPILZE\nPOLICE\nLICE\nPOLKE\nPOLICE\nPOLIC\nPOLIC\nPOUCE\nPOLICE\nPO\nDUCE\nPOLIC\nPOLICE POLICE POLICE POLICE\nPOLICE\nINDY\nTHAILAND\n', 'PILUS', 'POLICE', 'POLKS', 'POLIE', 'PALKE', 'PILZE', 'POLICE', 'LICE', 'POLKE', 'POLICE', 'POLIC', 'POLIC', 'POUCE', 'POLICE', 'PO', 'DUCE', 'POLIC', 'POLICE', 'POLICE', 'POLICE', 'POLICE', 'POLICE', 'INDY', 'THAILAND']"
riot_2.jpg,"['Sky', 'Cloud', 'Headgear', 'Entertainment', 'Performing arts', 'Crowd', 'Event', 'City', 'Team', 'Recreation']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person']",['violence hd'],[],UNLIKELY,10,[],"['IVOL IO\n', 'IVOL', 'IO']"
station.jpg,"['Shorts', 'Standing', 'Line', 'City', 'Travel', 'Facade', 'Street fashion', 'Luggage and bags', 'Metropolitan area', 'Landmark']","['Person', 'Person', 'Person', 'Pants', 'Person', 'Luggage & bags', 'Person', 'Luggage & bags']",['grand central terminal'],[],VERY_UNLIKELY,2,['Grand Central Terminal'],"['HARLEM LINE DEPARTURES\nTIME TRK DESTINATION\nREMARKS\n12:11\n27 SOUTHERST\nCONNECTION TO DOVER PLAINS\n12:31 21 N.I HHITE PLAINS IFORDHAM H1ST STOP|\nHHITE PLAINS: 1ST STOP\n20 N. WHITE PLAINS MELROSEH1IST STOP\n1:05 30 SOUTHEAST\n1:21\n1:57\n21 SÖOTHEAST\nFORDHAM - 1ST STOP\nΜΕTRΟ-ΝORTΗ ΤICKTS\nMEA METRONORTHE\nTH KEIS\nMTA METRONORTH\n', 'HARLEM', 'LINE', 'DEPARTURES', 'TIME', 'TRK', 'DESTINATION', 'REMARKS', '12:11', '27', 'SOUTHERST', 'CONNECTION', 'TO', 'DOVER', 'PLAINS', '12:31', '21', 'N.I', 'HHITE', 'PLAINS', 'IFORDHAM', 'H1ST', 'STOP|', 'HHITE', 'PLAINS:', '1ST', 'STOP', '20', 'N.', 'WHITE', 'PLAINS', 'MELROSEH1IST', 'STOP', '1:05', '30', 'SOUTHEAST', '1:21', '1:57', '21', 'SÖOTHEAST', 'FORDHAM', '-', '1ST', 'STOP', 'ΜΕTRΟ-ΝORTΗ', 'ΤICKTS', 'MEA', 'METRONORTHE', 'TH', 'KEIS', 'MTA', 'METRONORTH']"
subway.jpg,"['Footwear', 'Trousers', 'Musician', 'Musical instrument', 'Music', 'Hat', 'Brass instrument', 'Wind instrument', 'Passenger', 'Public transport']","['Person', 'Person', 'Hat', 'Person', 'Person', 'Person', 'Pants', 'Person']",['nyc subway panhandlers'],[],VERY_UNLIKELY,3,[],"['Dondle\nidoor\n', 'Dondle', 'idoor']"
autopalo.jpg,"['Workwear', 'High-visibility clothing', 'Sky', 'Vehicle', 'Helmet', 'Motor vehicle', 'Asphalt', 'Cloud', 'Fire', 'Wheel']","['Person', 'Person', 'Helmet', 'Helmet', 'Luggage & bags', 'Truck', 'Bag']",['Traffic collision'],[],VERY_UNLIKELY,0,[],[]
